team_id,season,xwoba,pa,for_season
117,2025,0.3139795168809154,7079.0,2026
118,2025,0.31734007852612495,6622.0,2026
119,2025,0.3343888196823419,6422.0,2026
120,2025,0.3160568962134589,5097.0,2026
121,2025,0.3356238951539165,6562.0,2026
133,2025,0.31212572303504593,5878.0,2026
134,2025,0.31276936973103175,4982.0,2026
135,2025,0.3227508963143554,6973.0,2026
136,2025,0.3257923229851659,6539.0,2026
137,2025,0.313175259515571,5780.0,2026
138,2025,0.3084620655898189,6129.0,2026
139,2025,0.31090544518027957,5436.0,2026
140,2025,0.3097654548243595,6519.0,2026
141,2025,0.32864446431232297,6711.0,2026
142,2025,0.3051355863192182,4912.0,2026
143,2025,0.3267537937441932,6458.0,2026
144,2025,0.3214023758757234,6566.0,2026
145,2025,0.302281121751026,5848.0,2026
146,2025,0.3177611582441903,5422.0,2026
147,2025,0.34086565254478246,7034.0,2026
158,2025,0.31269643387815754,6730.0,2026
