player,gsis_id,bucket,rating_0_100,tier,n_eff
Will Anderson Jr.,00-0039108,DL,95.1,S,2000
Kyren Williams,00-0037840,RB,93.7,S,2620
Azeez Al-Shaair,00-0035166,LB,90.4,S,4265
Calen Bullock,00-0039838,DB,88.8,S,2077
Dawson Knox,00-0035689,TE,88.1,S,4990
Ernest Jones,00-0036994,LB,86.8,S,4068
Kamari Lassiter,00-0039343,DB,86.7,S,1875
Puka Nacua,00-0039075,WR,85.9,S,2435
Ja'Marr Chase,00-0036900,WR,85.5,S,4866
Davante Adams,00-0031381,WR,84.4,S,8584
Christian McCaffrey,00-0033280,RB,84.1,S,6067
O'Cyrus Torrence,00-0038548,OL,84.1,S,3571
Danielle Hunter,00-0031565,DL,83.5,S,7028
Leonard Williams,00-0031933,DL,82.8,S,7901
Josh Jobe,00-0037137,DB,82.8,S,1537
Derek Stingley Jr.,00-0037237,DB,82.6,S,3384
Myles Garrett,00-0033868,DL,82.5,S,6769
Tee Higgins,00-0036410,WR,82.1,S,4447
Connor McGovern,00-0035679,OL,81.7,S,5421
Christian Watson,00-0038124,WR,81.0,S,1944
Kevin Dotson,00-0036339,OL,80.9,S,4895
Nick Bosa,00-0035717,DL,80.5,S,4467
Spencer Brown,00-0036976,OL,80.5,S,4942
Grant Delpit,00-0036282,DB,80.4,S,4153
Henry To'oTo'o,00-0038599,LB,80.2,S,2213
Dion Dawkins,00-0033904,OL,80.0,S,9498
Andrei Iosivas,00-0038619,WR,80.0,S,1898
Chris Jones,00-0032762,DL,79.9,S,7726
Patrick Ricard,00-0033376,RB,79.7,S,3637
C.J. Gardner-Johnson,00-0035253,DB,78.4,S,5053
Jarran Reed,00-0032387,DL,78.3,S,6598
Stefon Diggs,00-0031588,WR,78.3,S,8319
Josh Jacobs,00-0035700,RB,78.2,S,4266
Jake Ferguson,00-0038041,TE,78.1,S,2673
Derrick Henry,00-0032764,RB,77.7,S,5332
Joey Bosa,00-0033156,DL,77.7,S,5438
Jalen Pitre,00-0037246,DB,77.7,S,3470
Riley Moss,00-0038552,DB,77.7,S,2033
Javon Hargrave,00-0033109,DL,77.6,S,5557
Joe Thuney,00-0032391,OL,77.5,S,11888
Romeo Doubs,00-0037816,WR,77.5,S,2831
Jake Brendel,00-0032701,OL,77.2,S,4602
Jonathan Taylor,00-0036223,RB,77.1,S,3624
Rasheed Walker,00-0037196,OL,76.9,S,2996
Brandon Graham,00-0027865,DL,76.5,S,5179
Ted Karras,00-0032445,OL,76.5,S,7628
Byron Murphy II,00-0039309,DL,76.4,S,1286
Patrick Mekari,00-0035112,OL,76.3,S,4735
Samaje Perine,00-0033526,RB,76.2,S,2337
Robert Spillane,00-0034720,LB,76.0,S,4311
Orlando Brown,00-0034752,OL,75.9,S,8182
Tremaine Edmunds,00-0034673,LB,75.8,S,7509
Carlton Davis III,00-0034778,DB,75.8,S,6802
Mike Evans,00-0031408,WR,75.7,S,8306
Jauan Jennings,00-0036259,WR,75.4,S,2899
Jared Verse,00-0039852,DL,75.4,S,1852
Alex Singleton,00-0031898,LB,75.3,S,4476
Colton McKivitz,00-0036256,OL,75.3,S,3772
Denzel Ward,00-0034856,DB,75.2,S,5855
Coleman Shelton,00-0034114,OL,75.2,S,4351
Blake Cashman,00-0035276,LB,75.1,S,2938
Andrew Van Ginkel,00-0035272,LB,75.1,S,3876
Harrison Smith,00-0029606,DB,75.0,S,9665
Devon Witherspoon,00-0039169,DB,74.9,S,2734
John Franklin-Myers,00-0034805,DL,74.8,S,3729
Darious Williams,00-0034203,DB,74.8,S,5559
Reed Blankenship,00-0037130,DB,74.8,S,3280
Trent Williams,00-0027857,OL,74.7,S,7667
Alaric Jackson,00-0036603,OL,74.7,S,3587
Jamel Dean,00-0035699,DB,74.6,S,4983
Trey Smith,00-0036660,OL,74.5,S,5573
Talanoa Hufanga,00-0036564,DB,74.5,S,3529
Kyle Juszczyk,00-0029892,RB,74.3,S,5196
Travis Kelce,00-0030506,TE,74.3,S,9821
Tyreek Hill,00-0033040,WR,74.3,S,7449
Montez Sweat,00-0035647,DL,74.1,S,4717
Tucker Kraft,00-0038996,TE,74.1,S,2045
George Karlaftis,00-0037192,DL,74.0,S,3378
Aidan Hutchinson,00-0037236,DL,74.0,S,3186
Arik Armstead,00-0032164,DL,73.8,S,5912
Kendrick Bourne,00-0033307,WR,73.8,S,4371
Nick Bolton,00-0036621,LB,73.8,S,4652
Zach Tom,00-0037817,OL,73.8,S,3201
Malcolm Roach,00-0035763,DL,73.7,S,1917
D.J. Jones,00-0033297,DL,73.4,S,3698
Colby Parkinson,00-0036244,TE,73.3,S,2487
Quinnen Williams,00-0035718,DL,73.2,S,4691
Alex Anzalone,00-0033914,LB,73.1,S,5803
Denico Autry,00-0031254,DL,73.0,S,5599
Justin Reid,00-0034361,DB,73.0,S,7796
Tre'von Moehrig,00-0036962,DB,73.0,S,5079
Jaylen Watson,00-0037195,DB,73.0,S,2494
Demarcus Robinson,00-0032775,WR,72.9,S,5834
Nnamdi Madubuike,00-0036130,DL,72.9,S,3114
Javonte Williams,00-0036997,RB,72.9,S,2414
Spencer Burford,00-0037829,OL,72.7,S,2280
Julian Love,00-0034974,DB,72.6,S,5254
CeeDee Lamb,00-0036358,WR,72.6,S,5154
Trent McDuffie,00-0037191,DB,72.6,S,3800
George Kittle,00-0033288,TE,72.5,S,7065
Drew Dalman,00-0036957,OL,72.5,S,3738
Christian Rozeboom,00-0035942,LB,72.5,S,2299
Demario Davis,00-0029607,LB,72.4,S,9914
Divine Deablo,00-0036990,LB,72.4,S,2826
D.J. Wonnum,00-0036335,LB,72.2,S,3839
T.J. Watt,00-0033886,LB,72.1,S,7289
Tyler Higbee,00-0033110,TE,72.0,S,6723
Morgan Moses,00-0031330,OL,72.0,S,9437
Nick Chubb,00-0034791,RB,71.8,S,3213
Darius Slay,00-0030062,DB,71.7,S,8484
Matt Milano,00-0033571,LB,71.7,S,5667
Leonard Floyd,00-0033072,DL,71.6,S,7283
Adam Thielen,00-0030035,WR,71.6,S,7741
Andrew Wylie,00-0033831,OL,71.6,S,6768
Devin Singletary,00-0035250,RB,71.5,S,4113
Derrick Brown,00-0036220,DL,71.5,S,3885
DeMarcus Lawrence,00-0031411,LB,71.4,S,5605
Josh Allen,00-0034857,QB,71.4,S,8587
David Edwards,00-0035668,OL,71.4,S,5555
Kyle Hamilton,00-0038038,DB,71.4,S,3615
Khalil Shakir,00-0037261,WR,71.4,S,2289
Hunter Henry,00-0033090,TE,71.3,S,6474
Kam Curl,00-0036349,DB,71.2,S,5669
Chris Godwin Jr.,00-0033921,WR,71.1,S,6319
Cole Kmet,00-0036290,TE,71.1,S,5026
Dre Greenlaw,00-0034982,LB,71.0,S,4067
Zack Baun,00-0036418,LB,71.0,S,2826
Moro Ojomo,00-0038412,DL,71.0,S,1258
Jordan Love,00-0036264,QB,70.9,S,3081
Mark Andrews,00-0034753,TE,70.7,S,5016
Jonathan Greenard,00-0036224,LB,70.6,S,3015
Greg Rousseau,00-0036914,LB,70.6,S,3236
Cameron Heyward,00-0027969,DL,70.5,S,7391
Byron Murphy,00-0035236,DB,70.5,S,6235
Derick Hall,00-0039047,LB,70.5,S,1422
Kevin Zeitler,00-0029592,OL,70.4,S,9969
Jakobi Meyers,00-0034960,WR,70.4,S,5205
Tyler Smith,00-0037243,OL,70.4,S,4191
Lavonte David,00-0029562,LB,70.3,S,9992
Shelby Harris,00-0031270,DL,70.3,S,4398
Carl Granderson,00-0035402,DL,70.3,S,3633
Isaiah Likely,00-0037838,TE,70.3,S,2107
Chase Young,00-0036321,DL,70.2,S,3407
Amon-Ra St. Brown,00-0036963,WR,70.2,S,4668
Jaylon Johnson,00-0036292,DB,70.1,S,4455
Steve Avila,00-0039058,OL,70.1,S,2812
Kevin Byard,00-0033132,DB,70.0,S,10551
Ed Oliver,00-0035230,DL,70.0,A,4011
James Cook,00-0037248,RB,70.0,S,2243
Nik Bonitto,00-0037249,LB,70.0,S,2277
Kobie Turner,00-0039138,DL,70.0,A,2395
James Conner,00-0033553,RB,69.9,A,4009
Jonathon Cooper,00-0036952,LB,69.9,S,3195
Chase Brown,00-0038597,RB,69.9,A,1426
Derrick Barnes,00-0036964,LB,69.7,A,2497
Fred Warner,00-0034815,LB,69.6,A,7671
Olamide Zaccheaus,00-0035208,WR,69.6,S,3356
Elgton Jenkins,00-0035526,OL,69.5,S,5983
P.J. Locke,00-0035227,DB,69.5,S,1949
Deebo Samuel Sr.,00-0035719,WR,69.4,S,4893
Terence Steele,00-0036036,OL,69.4,S,5924
Coby Bryant,00-0038136,DB,69.4,S,2723
Drake Maye,00-0039851,QB,69.4,S,1866
George Pickens,00-0037247,WR,69.3,A,3464
Brock Purdy,00-0037834,QB,69.3,S,3127
Matthew Stafford,00-0026498,QB,69.1,S,9529
DJ Moore,00-0034827,WR,69.1,A,7314
Braden Fiske,00-0039734,DL,69.0,A,1302
Jaylen Warren,00-0037228,RB,68.9,A,1782
K'Lavon Chaisson,00-0036286,LB,68.8,A,2548
Cade Otton,00-0038129,TE,68.8,S,3723
Preston Smith,00-0031935,DL,68.7,A,7008
Patrick Queen,00-0036323,LB,68.7,A,6108
Pat Surtain II,00-0036874,DB,68.7,S,4871
Aaron Banks,00-0036551,OL,68.7,S,3569
Dallas Goedert,00-0034351,TE,68.6,A,5842
Charlie Woerner,00-0036429,TE,68.6,A,1864
D'Andre Swift,00-0036275,RB,68.6,A,3298
Creed Humphrey,00-0036623,OL,68.6,S,6088
Za'Darius Smith,00-0031576,DL,68.5,A,5626
Jessie Bates,00-0034675,DB,68.5,S,8497
Isaiah Rodgers,00-0036222,DB,68.5,S,2288
Tre'Davious White,00-0033884,DB,68.4,S,6395
Myles Bryant,00-0036087,DB,68.4,S,2524
Noah Gray,00-0036637,TE,68.4,A,2848
Tyler Linderbaum,00-0037825,OL,68.4,A,4188
Sean Rhyan,00-0037076,OL,68.4,A,2013
Rob Havenstein,00-0032242,OL,68.3,A,9086
Sheldon Rankins,00-0032759,DL,68.3,A,5257
Roquan Smith,00-0034874,LB,68.3,A,7577
DK Metcalf,00-0035640,WR,68.2,A,6007
Gabe Davis,00-0036196,WR,68.2,A,4016
Zach Ertz,00-0030061,TE,68.1,A,7344
Harold Landry III,00-0034828,LB,68.1,A,6036
Jeffery Simmons,00-0035643,DL,68.1,A,5074
Christian Benford,00-0037288,DB,68.0,S,3010
Jawaan Taylor,00-0035237,OL,67.9,A,7365
Rhamondre Stevenson,00-0036875,RB,67.9,A,2623
Boye Mafe,00-0038133,DL,67.9,A,2359
Byron Young,00-0039137,LB,67.9,A,2766
Tyler Biadasz,00-0036376,OL,67.8,A,5788
Sauce Gardner,00-0037190,DB,67.8,S,3478
Jalen Ramsey,00-0033055,DB,67.7,A,9756
Dak Prescott,00-0033077,QB,67.7,S,9203
Maliek Collins,00-0033131,DL,67.7,A,6115
Jake Matthews,00-0031279,OL,67.7,A,10413
Mike Gesicki,00-0034829,TE,67.7,A,4177
Lane Johnson,00-0030561,OL,67.6,A,8080
Jonah Jackson,00-0036258,OL,67.6,A,5075
Grady Jarrett,00-0031583,DL,67.5,A,7110
Mack Hollins,00-0033555,WR,67.5,A,4130
Kenny Moore II,00-0033393,DB,67.5,A,7344
Darnell Mooney,00-0036309,WR,67.5,A,4708
DeVonta Smith,00-0036912,WR,67.5,A,5128
Quentin Lake,00-0037841,DB,67.5,A,2479
Yaya Diaby,00-0039068,LB,67.5,A,2104
Quinyon Mitchell,00-0039888,DB,67.5,A,2090
Milton Williams,00-0036916,DL,67.4,A,2592
Ronnie Hickman Jr.,00-0038715,DB,67.4,A,1720
Sam LaPorta,00-0039065,TE,67.4,A,2515
Jaylen Waddle,00-0036613,WR,67.3,A,3738
Ronnie Stanley,00-0032965,OL,67.2,A,7549
Nick Allegretti,00-0035149,OL,67.2,A,2957
Jake Tonges,00-0037112,TE,67.2,A,466
Cody Mauch,00-0039157,OL,67.2,A,2407
Jonathan Allen,00-0033523,DL,67.1,A,5905
Tristan Wirfs,00-0036406,OL,67.1,A,6232
Chuba Hubbard,00-0036555,RB,67.1,A,2489
Chris Lindstrom,00-0035630,OL,66.9,A,6420
Kyler Gordon,00-0038111,DB,66.9,A,2320
Cooper DeJean,00-0039841,DB,66.9,A,1878
Aaron Jones,00-0033293,RB,66.8,A,4546
Charvarius Ward,00-0034573,DB,66.8,A,6476
Dalton Kincaid,00-0038933,TE,66.8,A,1613
Xavier Worthy,00-0039894,WR,66.8,A,1470
Kyle Van Noy,00-0031360,LB,66.7,A,7322
B.J. Hill,00-0034800,DL,66.7,A,5068
Tutu Atwell,00-0036849,WR,66.7,A,1554
Patrick Jones II,00-0037007,LB,66.6,A,1590
Jared Goff,00-0033106,QB,66.5,A,10075
Lamar Jackson,00-0034796,QB,66.5,A,6958
Tim Patrick,00-0033375,WR,66.5,A,3142
Alex Highsmith,00-0036333,LB,66.5,A,4333
Zay Flowers,00-0039064,WR,66.5,A,2582
Marquez Valdes-Scantling,00-0034272,WR,66.4,A,4837
Dalton Schultz,00-0034383,TE,66.4,A,5783
Kyle Dugger,00-0036231,DB,66.4,A,4448
Travis Etienne,00-0036973,RB,66.4,A,2688
Joey Porter Jr.,00-0039167,DB,66.4,A,2619
Adam Butler,00-0033381,DL,66.3,A,4332
Eric Murray,00-0033038,DB,66.2,A,4977
Jaylinn Hawkins,00-0036302,DB,66.2,A,3191
Terry McLaurin,00-0035659,WR,66.1,A,6032
Damien Lewis,00-0036417,OL,66.1,A,5411
Camryn Bynum,00-0036629,DB,66.1,A,4487
Jon Runyan,00-0036246,OL,66.0,A,4960
Brandon Jones,00-0036221,DB,66.0,A,3610
Deommodore Lenoir,00-0036563,DB,66.0,A,4386
Patrick Mahomes,00-0033873,QB,65.9,A,9135
Zach Allen,00-0035248,DL,65.9,A,4604
Michael Pittman,00-0036252,WR,65.9,A,5369
Jaquan Brisker,00-0038135,DB,65.9,A,3204
Trent Brown,00-0032071,OL,65.8,A,6421
Bud Dupree,00-0032146,LB,65.8,A,6039
Sam Darnold,00-0034869,QB,65.8,A,5704
Will Dissly,00-0034159,TE,65.7,A,3029
Joe Burrow,00-0036442,QB,65.7,A,5179
Jalen Hurts,00-0036389,QB,65.7,A,5670
AJ Barner,00-0039793,TE,65.7,A,1409
Ray-Ray McCloud,00-0034407,WR,65.6,A,2423
Cam Lewis,00-0035357,DB,65.6,A,1434
Ezra Cleveland,00-0036327,OL,65.6,A,5420
Kyle Pitts,00-0036970,TE,65.6,A,3407
Cooper Kupp,00-0033908,WR,65.4,A,6974
Van Jefferson,00-0036415,WR,65.4,A,3699
L'Jarius Sneed,00-0036374,DB,65.4,A,4555
Trevor Lawrence,00-0036971,QB,65.4,A,4805
Alim McNeill,00-0036624,DL,65.4,A,2838
Khalil Mack,00-0031040,LB,65.3,A,7538
D.J. Reed,00-0034384,DB,65.3,A,5384
Daniel Jones,00-0035710,QB,65.3,A,4961
Greg Newsome II,00-0036996,DB,65.3,A,3545
Rayshawn Jenkins,00-0033941,DB,65.2,A,5840
Brock Wright,00-0036754,TE,65.2,A,2240
Darnell Washington,00-0038558,TE,65.2,A,1582
Josh Sweat,00-0034381,LB,65.1,A,4203
Maxx Crosby,00-0034973,DL,65.1,A,6092
Zay Jones,00-0033891,WR,65.0,A,5187
Warren McClendon Jr.,00-0039077,OL,65.0,A,1176
Graham Glasgow,00-0032395,OL,64.9,A,8623
Isiah Pacheco,00-0037197,RB,64.9,A,1818
Larry Ogunjobi,00-0033905,DL,64.8,A,5431
Michael Danna,00-0036378,LB,64.8,A,3288
Xavier McKinney,00-0036388,DB,64.8,A,5156
Zach Charbonnet,00-0039165,RB,64.8,A,1443
Jalen Carter,00-0038386,DL,64.8,A,2255
Marlon Humphrey,00-0033281,DB,64.6,A,7331
Mike Edwards,00-0035681,DB,64.6,A,3405
Drake London,00-0037238,WR,64.6,A,3271
C.J. Stroud,00-0039163,QB,64.6,A,3051
Tyler Lockett,00-0032211,WR,64.5,A,7648
Derek Barnett,00-0033876,DL,64.5,A,3820
Kaden Elliss,00-0035316,LB,64.5,A,3880
Trey McBride,00-0037744,TE,64.5,A,3155
Kelvin Beachum,00-0029316,OL,64.3,A,8318
Marcus Williams,00-0033894,DB,64.3,A,6970
Derwin James,00-0034790,DB,64.3,A,6001
Bijan Robinson,00-0038542,RB,64.3,A,2374
Taylor Decker,00-0032381,OL,64.2,A,8928
Keenan Allen,00-0030279,WR,64.2,A,7144
Anthony Bradford,00-0039020,OL,64.2,A,2311
Bo Nix,00-0039732,QB,64.2,A,2209
Tony Pollard,00-0035261,RB,64.1,A,3636
Zaire Franklin,00-0034431,LB,64.0,A,4729
Christian Barmore,00-0036981,DL,63.9,A,2541
DeForest Buckner,00-0032378,DL,63.8,A,7646
Jaycee Horn,00-0036944,DB,63.8,A,3089
Robert Hainsey,00-0036985,OL,63.8,A,3322
Tuli Tuipulotu,00-0039111,LB,63.8,A,2275
Parker Washington,00-0038606,WR,63.8,A,1458
Bobby Okereke,00-0035687,LB,63.7,A,5865
Christian Gonzalez,00-0039147,DB,63.6,A,2092
Caleb Williams,00-0039918,QB,63.6,A,2296
DaQuan Jones,00-0031054,DL,63.5,A,5666
Minkah Fitzpatrick,00-0034789,DB,63.5,A,7363
Christian Kirk,00-0034775,WR,63.5,A,5344
Calais Campbell,00-0026190,DL,63.4,A,6556
Zach Sieler,00-0034285,DL,63.4,A,4325
Braden Smith,00-0034836,OL,63.3,A,6497
Vita Vea,00-0034773,DL,63.2,A,4757
Odafe Oweh,00-0036940,LB,63.2,A,2838
Rashod Bateman,00-0036550,WR,63.2,A,2734
Travon Walker,00-0037235,DL,63.2,A,3066
Craig Woodson,00-0040716,DB,63.2,A,1150
Rashan Gary,00-0034967,LB,63.1,A,3729
J.K. Dobbins,00-0036158,RB,63.1,A,1628
Yosh Nijman,00-0035084,OL,63.1,A,2031
Dominick Puni,00-0039351,OL,63.1,A,2187
Evan Williams,00-0039813,DB,63.1,A,1427
Shaquill Griffin,00-0033926,DB,63.0,A,5842
Quay Walker,00-0037074,LB,63.0,A,3411
Evan Engram,00-0033881,TE,62.9,A,5764
Adoree' Jackson,00-0033878,DB,62.9,A,6145
Trey Hendrickson,00-0033935,LB,62.9,A,4778
Andrew Thomas,00-0036386,OL,62.9,A,4479
Jalen McMillan,00-0039855,WR,62.9,A,778
Dexter Lawrence,00-0035683,DL,62.8,A,4838
A.J. Brown,00-0035676,WR,62.8,A,6158
Justin Strnad,00-0036428,LB,62.8,A,1590
Budda Baker,00-0033890,DB,62.7,A,8024
Baker Mayfield,00-0034855,QB,62.7,A,7657
Alec Ingold,00-0035125,RB,62.7,A,1997
Justin Jefferson,00-0036322,WR,62.7,A,5342
David Onyemata,00-0033051,DL,62.6,A,5646
Raheem Mostert,00-0031687,RB,62.6,A,2229
Foye Oluokun,00-0034413,LB,62.6,A,6780
Charles Omenihu,00-0035279,DL,62.6,A,3307
Josh Metellus,00-0036348,DB,62.6,A,3139
Jourdan Lewis,00-0033928,DB,62.5,A,5442
Eric Wilson,00-0033336,LB,62.5,A,3619
Bradley Bozeman,00-0034281,OL,62.5,A,7376
Arden Key,00-0034825,DL,62.4,A,3904
Kwity Paye,00-0036479,DL,62.4,A,3123
Joe Alt,00-0039897,OL,62.4,A,1288
Dalvin Tomlinson,00-0033546,DL,62.3,A,5227
Grover Stewart,00-0033952,DL,62.3,A,4839
Saquon Barkley,00-0034844,RB,62.2,A,5458
Amik Robertson,00-0036375,DB,62.2,A,2813
Penei Sewell,00-0036880,OL,62.2,A,5487
Amani Hooker,00-0035632,DB,62.1,A,4535
Micah Parsons,00-0036932,LB,62.1,A,4084
Jihad Ward,00-0033046,LB,62.0,A,4442
Alex Cappa,00-0034678,OL,62.0,A,6807
John Bates,00-0036628,TE,62.0,A,2471
Kamren Kinchens,00-0039834,DB,62.0,A,1519
Alontae Taylor,00-0038121,DB,61.9,A,3523
Chamarri Conner,00-0038982,DB,61.9,A,2089
Daiyan Henley,00-0038553,LB,61.9,A,1989
Jacob Martin,00-0034163,DL,61.8,A,2833
Josh Hines-Allen,00-0035642,DL,61.8,A,5086
Devonte Wyatt,00-0037075,DL,61.8,A,1516
Alec Pierce,00-0037664,WR,61.8,A,3290
Bobby Wagner,00-0029255,LB,61.7,A,10775
Cameron Jordan,00-0027962,LB,61.7,A,8021
Tua Tagovailoa,00-0036212,QB,61.7,A,4398
Graham Barton,00-0039905,OL,61.7,A,2119
Omar Speights,00-0039774,LB,61.7,A,1268
Mac Jones,00-0036972,QB,61.6,A,3452
Ja'Quan McMillian,00-0037384,DB,61.6,A,2352
Jordan Poyer,00-0030114,DB,61.5,A,8721
Alohi Gilman,00-0036380,DB,61.5,A,3462
E.J. Speed,00-0034987,LB,61.4,A,2541
Luke Goedeke,00-0037835,OL,61.4,A,3273
Dontayvion Wicks,00-0038393,WR,61.4,A,1488
Jadeveon Clowney,00-0031364,LB,61.3,A,6419
Eric Kendricks,00-0031554,LB,61.3,A,8370
Ahkello Witherspoon,00-0033783,DB,61.3,A,4555
